Site,Longitude(x),Latitude(y),BIO1_Annual_mean_temperature,BIO7_Temperature_annual_range,BIO12_Annual_precipitation,BIO17_Precipitation_of_driest_quarter,Albany_thicket,Coastal_belt,Desert,Forest,Fynbos,Nama_Karoo,Savanna,Succulent_Karoo,AB_Unmodified_largely_natural_river,C_Moderately_modified_river_condition,D_Largely_modified_river_condition,EF_Extremely_modified_river_condition,Z_River_condition_no_longer_intact,Human_population_density ,Sampling_effort 
44,27.88,-23.63,21.22,29.17,467.00,9.50,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.00,3648.15,3944.46,15360.72,0.00,0.00,0.38,24.00
45,28.13,-23.63,20.99,29.78,475.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.00,3810.91,1027.10,22517.52,0.00,0.00,1.82,43.00
48,30.13,-23.63,20.47,25.02,770.50,34.25,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.00,0.00,741.28,5485.52,0.00,90.29,14.79,20.00
50,30.88,-23.63,22.38,25.90,518.50,15.50,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.00,2092.02,4756.19,10923.91,0.00,0.00,0.00,11.00
51,31.38,-23.63,22.38,24.30,503.50,17.25,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.00,3647.91,9008.53,0.00,0.00,0.00,0.11,31.00
52,27.88,-23.88,19.93,25.57,514.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.00,3648.15,3177.85,0.00,0.00,0.00,0.37,31.00
53,28.13,-23.88,18.51,25.75,582.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.00,5748.39,2679.15,0.00,0.00,0.00,0.24,130.00
54,28.38,-23.88,18.81,27.20,553.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.00,2279.01,1308.20,10050.23,0.00,0.00,0.56,57.00
55,29.38,-23.88,18.12,26.53,601.00,17.75,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.00,408.46,3757.16,6881.98,4811.30,556.24,1.67,29.00
56,29.88,-23.88,15.89,23.85,1103.00,56.50,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.00,38.10,1692.65,441.07,0.00,150.30,86.22,241.00
57,30.13,-23.88,19.76,24.43,879.00,48.25,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.00,718.54,1873.24,3441.67,0.00,2266.55,51.23,85.00
58,30.38,-23.88,21.80,26.93,567.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.00,26.76,6842.81,12213.33,0.00,0.00,9.86,20.00
61,31.63,-23.88,23.28,24.73,487.75,17.50,0.00,0.00,0.00,0.00,0.00,0.00,0.94,0.00,4976.34,18.04,0.00,3286.40,0.00,0.11,137.00
64,27.13,-24.13,20.67,31.57,505.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.00,0.00,15573.90,0.00,0.00,0.00,0.62,88.00
65,27.63,-24.13,19.47,28.25,545.50,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.00,1943.36,10253.73,0.00,0.00,0.00,0.74,23.00
66,27.88,-24.13,19.29,29.33,551.25,13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.00,1841.02,8723.70,688.89,0.00,0.00,0.61,54.00
67,28.13,-24.13,18.07,28.37,590.00,13.25,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.00,2445.38,1011.71,3256.67,0.00,0.00,0.61,130.00
68,28.38,-24.13,17.57,26.85,646.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.00,2893.27,6289.65,2793.39,0.00,0.00,0.52,39.00
69,28.63,-24.13,17.73,25.58,620.75,15.75,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.00,2960.53,3782.29,3297.86,0.00,0.00,0.74,15.00
70,28.88,-24.13,17.27,24.47,651.50,16.75,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.00,1786.52,10603.29,1813.55,0.00,272.32,2.23,31.00
74,29.88,-24.13,16.02,22.47,1020.75,47.75,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.00,38.10,4788.72,1157.54,0.00,973.35,0.38,11.00
75,30.13,-24.13,19.66,24.58,806.00,35.75,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.00,718.54,1512.05,543.15,0.00,1690.40,0.38,55.00
76,30.38,-24.13,21.09,25.52,687.25,26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.00,26.76,4535.75,4177.37,0.00,3920.76,4.18,43.00
80,31.63,-24.13,22.86,25.35,508.50,21.25,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.00,1557.74,8425.93,0.00,0.00,0.00,0.07,59.00
81,31.88,-24.13,22.83,23.75,528.00,24.25,0.00,0.00,0.00,0.00,0.00,0.00,0.61,0.00,282.96,8808.65,0.00,3236.88,0.00,0.07,24.00
82,27.63,-24.38,18.39,25.38,633.25,17.25,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.00,1335.38,1590.51,2773.85,0.00,0.00,0.01,15.00
83,27.88,-24.38,17.67,27.17,645.25,16.75,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.00,1431.72,447.61,688.89,0.00,0.00,0.69,112.00
84,28.13,-24.38,18.45,28.18,600.50,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.00,2010.11,3266.02,3256.67,0.00,0.00,1.60,59.00
86,28.63,-24.38,18.41,28.90,597.00,13.25,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.00,1761.40,1707.30,10685.39,0.00,0.00,1.34,42.00
87,28.88,-24.38,19.16,27.60,555.50,13.75,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.00,1410.78,28978.75,6400.78,0.00,3270.31,1.02,176.00
89,30.63,-24.38,21.71,24.62,627.25,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.00,3730.20,0.00,4207.43,0.00,0.00,142.06,41.00
90,30.88,-24.38,21.90,25.60,659.75,19.75,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.00,2523.30,1722.39,4438.68,0.00,0.00,10.00,59.00
91,31.13,-24.38,22.24,24.18,674.75,22.75,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.00,4266.35,4339.07,0.00,0.00,0.00,1.14,14.00
93,31.63,-24.38,21.84,23.73,598.75,25.75,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.00,9360.65,0.00,0.00,0.00,0.00,0.07,16.00
94,31.88,-24.38,22.58,25.60,540.50,27.75,0.00,0.00,0.00,0.00,0.00,0.00,0.94,0.00,749.55,0.00,0.00,0.00,0.00,0.07,31.00
97,27.88,-24.63,18.92,29.60,589.50,17.00,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.00,1579.60,6290.91,2492.42,0.00,1678.93,0.31,11.00
98,28.13,-24.63,17.72,28.08,644.25,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.00,383.57,1009.28,7805.37,0.00,1095.80,2.52,35.00
99,28.38,-24.63,17.60,26.55,650.75,14.25,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.00,418.68,1061.63,662.55,0.00,0.00,1.60,628.00
100,28.63,-24.63,18.68,28.47,588.75,11.25,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.00,2178.86,6739.50,6771.71,0.00,0.00,1.35,402.00
101,28.88,-24.63,19.68,30.90,550.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.00,4929.60,3130.10,0.00,0.00,6276.64,2.13,203.00
105,30.63,-24.63,19.19,25.15,830.00,28.75,0.00,0.00,0.00,0.00,0.00,0.00,0.69,0.00,313.78,0.00,3307.25,0.00,128.35,2.08,37.00
106,30.88,-24.63,14.48,17.40,1163.75,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.51,0.00,4496.51,1472.81,3307.25,0.00,0.00,0.28,148.00
107,31.13,-24.63,21.46,22.85,792.75,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.00,5896.92,6574.80,123.30,4003.63,1617.92,705.04,22.00
112,27.38,-24.88,20.31,32.88,638.75,19.25,0.00,0.00,0.00,0.00,0.00,0.00,0.98,0.00,0.00,27000.00,12464.82,0.00,0.00,0.53,32.00
113,27.63,-24.88,18.34,26.13,646.50,19.25,0.00,0.00,0.00,0.00,0.00,0.00,0.98,0.00,2042.24,3983.84,0.00,4133.31,3515.73,1.13,11.00
114,28.13,-24.88,18.83,27.93,615.75,15.25,0.00,0.00,0.00,0.00,0.00,0.00,0.98,0.00,198.61,1357.06,415.68,0.00,5733.53,10.23,95.00
115,28.38,-24.88,18.70,28.75,616.50,11.25,0.00,0.00,0.00,0.00,0.00,0.00,0.98,0.00,0.00,230.21,6403.46,0.00,0.00,11.32,43.00
116,28.88,-24.88,19.75,31.17,569.00,12.75,0.00,0.00,0.00,0.00,0.00,0.00,0.98,0.00,496.42,2812.06,12859.29,0.00,3859.20,1.51,11.00
117,29.38,-24.88,20.28,29.88,544.75,13.75,0.00,0.00,0.00,0.00,0.00,0.00,0.98,0.00,1744.08,839.11,2397.64,5594.89,1390.41,0.51,50.00
120,30.63,-24.88,15.61,22.72,928.00,37.50,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,1219.47,69.15,3047.34,0.00,2613.98,0.52,72.00
121,30.88,-24.88,14.83,17.88,1053.25,48.75,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,9504.52,1472.81,1250.73,0.00,85.46,1.10,144.00
123,31.38,-24.88,21.51,23.33,671.00,31.75,0.00,0.00,0.00,0.00,0.00,0.00,0.98,0.00,11460.39,5036.87,1880.69,4003.63,1191.81,1288.98,67.00
124,31.63,-24.88,21.76,24.48,628.00,28.25,0.00,0.00,0.00,0.00,0.00,0.00,0.98,0.00,7271.75,5663.14,0.00,0.00,5293.13,0.07,117.00
125,31.88,-24.88,21.92,23.17,628.00,29.75,0.00,0.00,0.00,0.00,0.00,0.00,0.98,0.00,946.96,0.00,0.00,0.00,577.74,0.07,118.00
132,29.38,-25.13,20.07,28.57,607.50,14.75,0.00,0.00,0.00,0.00,0.00,0.00,0.98,0.00,1744.08,2065.92,5091.92,0.00,961.44,119.50,13.00
133,30.13,-25.13,16.95,24.70,699.25,22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.00,3771.79,1552.29,0.00,0.00,360.79,2.05,21.00
134,30.38,-25.13,15.60,25.82,776.00,27.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1972.90,1291.13,0.00,0.00,502.87,1.95,91.00
135,30.63,-25.13,12.26,17.02,1093.50,52.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,251.31,69.15,0.00,0.00,267.97,3.17,38.00
136,30.88,-25.13,15.65,18.35,980.50,42.75,0.00,0.00,0.00,0.00,0.00,0.00,0.36,0.00,2034.43,69.26,1250.73,0.00,85.46,6.44,282.00
137,31.13,-25.13,20.28,24.20,808.00,39.75,0.00,0.00,0.00,0.00,0.00,0.00,0.98,0.00,5334.12,2477.19,267.94,0.00,148.92,1354.93,153.00
139,31.63,-25.13,21.84,24.22,624.00,28.00,0.00,0.00,0.00,0.00,0.00,0.00,0.98,0.00,4733.30,13633.63,14163.11,0.00,1064.33,0.07,11.00
140,31.88,-25.13,22.39,23.00,608.00,26.75,0.00,0.00,0.00,0.00,0.00,0.00,0.98,0.00,8179.38,0.00,0.00,0.00,577.74,0.07,71.00
144,28.13,-25.38,19.47,29.60,578.50,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.98,0.00,0.00,7841.55,15437.75,6582.51,0.00,94.57,32.00
145,28.38,-25.38,19.12,29.05,586.00,15.25,0.00,0.00,0.00,0.00,0.00,0.00,0.98,0.00,0.00,24702.34,15437.75,4159.69,2580.11,0.87,21.00
147,29.13,-25.38,18.47,25.33,658.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.98,0.00,250.42,4984.96,5049.27,0.00,0.00,0.82,36.00
148,29.38,-25.38,20.52,28.58,633.00,15.25,0.00,0.00,0.00,0.00,0.00,0.00,0.98,0.00,1494.35,5979.90,11926.96,0.00,2458.22,11.33,80.00
149,29.88,-25.38,16.35,26.05,716.25,23.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2993.68,1437.89,0.00,0.00,2047.62,1.01,34.00
150,30.13,-25.38,12.29,19.67,933.75,42.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4258.04,2970.95,0.00,0.00,651.32,1.54,89.00
151,30.38,-25.38,17.52,25.50,714.50,23.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,1583.36,2970.95,528.80,0.00,218.71,11.23,70.00
152,30.63,-25.38,17.06,21.25,836.50,30.25,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,1286.71,3050.90,0.00,0.00,2106.63,3.78,84.00
153,30.88,-25.38,19.12,25.25,811.50,31.00,0.00,0.00,0.00,0.00,0.00,0.00,0.74,0.00,2598.12,1457.57,0.00,0.00,2083.56,7.50,285.00
154,31.13,-25.38,20.51,24.75,777.00,35.25,0.00,0.00,0.00,0.00,0.00,0.00,0.98,0.00,895.34,7617.42,10115.44,0.00,0.00,148.55,23.00
156,31.63,-25.38,21.76,23.43,618.50,26.25,0.00,0.00,0.00,0.00,0.00,0.00,0.98,0.00,6082.75,13633.63,14163.11,0.00,2722.85,0.07,108.00
157,31.88,-25.38,22.70,23.87,617.00,25.25,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.00,5026.88,13633.63,14163.11,0.00,1550.92,9.95,211.00
159,27.13,-25.63,18.13,27.22,676.25,20.25,0.00,0.00,0.00,0.00,0.00,0.00,0.98,0.00,330.63,5338.46,7041.56,0.00,0.00,13.85,82.00
161,27.88,-25.63,18.90,28.83,629.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.98,0.00,0.00,3486.33,5280.42,0.00,3231.16,2.89,56.00
162,28.13,-25.63,18.39,28.95,654.50,13.75,0.00,0.00,0.00,0.00,0.00,0.00,0.98,0.00,0.00,691.85,5094.84,0.00,1317.87,16.54,81.00
163,28.38,-25.63,18.56,28.30,643.50,15.75,0.00,0.00,0.00,0.00,0.00,0.00,0.98,0.00,0.00,9284.04,1350.85,4159.69,0.00,75.37,46.00
164,28.63,-25.63,17.69,27.70,671.25,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.62,0.00,0.00,7900.59,1286.08,0.00,1610.91,11.13,78.00
165,28.88,-25.63,17.38,26.53,656.25,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.51,0.00,0.00,3091.10,521.25,0.00,3132.43,8.90,300.00
166,29.38,-25.63,16.68,26.35,669.50,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,1105.07,4094.54,285.53,0.00,1272.43,2.85,18.00
168,30.13,-25.63,14.16,24.60,842.50,39.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3205.76,2604.60,0.00,0.00,651.32,0.50,102.00
169,30.38,-25.63,15.35,22.12,837.25,32.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.54,4183.75,528.80,0.00,907.98,1.39,11.00
170,30.63,-25.63,15.92,20.80,917.50,34.50,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,3336.98,101.07,734.43,0.00,83.04,1.82,13.00
171,30.88,-25.63,18.85,25.75,817.00,28.75,0.00,0.00,0.00,0.00,0.00,0.00,0.87,0.00,328.95,524.01,0.00,0.00,0.00,6.79,29.00
172,31.13,-25.63,19.34,22.47,816.75,31.00,0.00,0.00,0.00,0.00,0.00,0.00,0.94,0.00,895.34,5445.55,0.00,0.00,86.53,5.93,94.00
173,31.38,-25.63,19.19,20.97,933.50,40.50,0.00,0.00,0.00,0.00,0.00,0.00,0.75,0.00,0.00,3147.11,0.00,0.00,858.06,15.35,108.00
177,27.38,-25.88,17.17,27.35,674.25,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.92,0.00,2410.83,2556.33,4236.70,0.00,2487.02,5.84,151.00
178,27.63,-25.88,17.82,30.00,659.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,0.00,1066.38,5147.02,1620.37,0.00,0.00,10.18,17.00
179,27.88,-25.88,17.40,27.52,697.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.00,2169.82,11905.70,2858.08,671.21,0.00,20.22,167.00
180,28.13,-25.88,17.37,26.83,717.50,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,5307.55,681.00,815.37,1037.53,1895.11,184.00
181,28.38,-25.88,16.25,27.10,714.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.46,0.00,0.00,7121.48,2467.31,0.00,5934.48,41.59,318.00
182,28.63,-25.88,16.30,28.67,710.25,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,2329.74,1753.80,0.00,5934.48,4.05,60.00
184,29.38,-25.88,15.87,28.18,661.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.79,5955.42,0.00,1272.43,20.24,19.00
186,30.13,-25.88,15.07,25.17,771.75,30.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1077.48,2604.60,0.00,0.00,864.85,2.30,11.00
187,30.38,-25.88,15.04,20.95,874.00,34.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1776.16,4183.75,0.00,0.00,9.54,1.43,33.00
188,30.63,-25.88,18.84,26.93,820.25,28.00,0.00,0.00,0.00,0.00,0.00,0.00,0.34,0.00,142.15,101.07,1787.75,0.00,111.98,7.08,131.00
189,30.88,-25.88,16.58,20.45,1024.00,41.25,0.00,0.00,0.00,0.00,0.00,0.00,0.41,0.00,328.95,1187.96,0.00,0.00,1019.58,2.78,120.00
190,31.13,-25.88,16.98,19.00,1087.75,46.75,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.00,707.51,2073.83,0.00,0.00,86.53,2.86,76.00
192,20.38,-26.13,20.11,34.80,210.50,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.00,7774.87,0.00,0.00,0.00,0.00,0.04,13.00
196,27.88,-26.13,15.98,24.82,722.75,17.75,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.00,4075.48,671.21,2081.97,1420.27,257.00
197,28.13,-26.13,16.23,25.65,730.00,16.25,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,2859.20,815.37,1037.53,1376.07,142.00
198,28.38,-26.13,15.67,27.70,735.75,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2630.07,5459.90,10927.95,5934.48,1942.82,13.00
199,30.13,-26.13,14.80,27.20,769.75,27.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1735.00,3757.08,0.00,0.00,864.85,3.46,24.00
200,30.38,-26.13,14.67,22.20,869.75,31.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7181.18,1215.45,0.00,0.00,4740.80,1.86,18.00
202,30.88,-26.13,18.14,22.82,1099.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,554.01,5955.24,0.00,0.00,7404.69,2.04,55.00
211,30.63,-26.38,14.50,22.72,954.75,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8215.23,1668.62,1761.35,0.00,4003.47,4.24,44.00
212,25.63,-26.63,17.56,30.58,562.75,15.50,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,9426.75,18290.90,0.00,0.00,4.21,38.00
217,27.38,-26.63,16.70,32.77,635.75,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,8785.81,4121.59,0.00,2482.15,3.15,19.00
218,27.88,-26.63,16.55,29.07,644.50,19.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6444.02,4058.68,0.00,1888.91,150.40,23.00
219,28.13,-26.63,15.75,30.12,658.25,21.25,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,9195.06,10368.74,0.00,3665.74,6.01,18.00
220,28.38,-26.63,15.83,29.00,670.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.00,3621.09,9382.54,0.00,1175.37,4.72,26.00
221,28.88,-26.63,15.16,28.70,689.50,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,714.34,6749.71,15296.41,0.00,636.22,3.75,24.00
223,30.63,-26.63,16.77,26.80,905.25,33.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2361.58,8349.85,1761.35,1933.25,1478.30,4.98,83.00
224,30.88,-26.63,15.98,21.15,1025.50,42.75,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,318.15,462.43,4525.77,1954.30,1649.12,18.29,14.00
231,28.13,-26.88,15.83,24.27,642.50,23.25,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.00,9195.06,21846.98,0.00,2948.14,4.63,20.00
232,30.13,-26.88,14.49,28.18,776.25,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25632.61,8478.82,23607.23,0.00,1606.24,1.56,30.00
